id,price,address,links
0,"$1,380+ 1 bd","Harvard Apartments | 1501 Harvard Cir, Palm Bay, FL",https://www.zillow.com/b/harvard-apartments-melbourne-fl-5Xhx6d/
1,"$1,404+ 1 bd","Lake Pointe | 2880 N Wickham Rd, Melbourne, FL",https://www.zillow.com/b/harvard-apartments-melbourne-fl-5Xhx6d/
2,"$1,500+ 1 bd","Compass | 3595 Misty Oak Dr, Melbourne, FL",https://www.zillow.com/b/lake-pointe-melbourne-fl-5Xhx6n/
3,"$1,379+ 1 bd","Lake in the Woods | 333 Lake In The Woods Dr, Melbourne, FL",https://www.zillow.com/b/lake-pointe-melbourne-fl-5Xhx6n/
4,"$1,410+ 1 bd","Caribbean Isle | 2848 Caribbean Isle Blvd, Melbourne, FL",https://www.zillow.com/b/compass-melbourne-fl-5Xhx26/
5,"$1,776+ 1 bd","Centre Pointe Apartments | 6705 Shadow Creek Trl, Melbourne, FL",https://www.zillow.com/b/compass-melbourne-fl-5Xhx26/
6,"$1,647+ 1 bd","Addison Pointe Apartment Homes | 3515 Delaney Dr, Melbourne, FL",https://www.zillow.com/b/lake-in-the-woods-melbourne-fl-5XhwzD/
7,"$1,677+ 1 bd","The Preserve at Longleaf | 4465 Preserve Dr, Melbourne, FL",https://www.zillow.com/b/lake-in-the-woods-melbourne-fl-5XhwzD/
8,"$1,099+ 1 bd","Topaz Village Apartments | 150 E University Blvd, Melbourne, FL",https://www.zillow.com/b/caribbean-isle-melbourne-fl-5Xhwyc/
0,"$2,350/mo","3650 Miami Ave, Melbourne, FL 32904",https://www.zillow.com/homedetails/3650-Miami-Ave-Melbourne-FL-32904/43477510_zpid/
1,"$1,875/mo","417 High Point Ct, Melbourne, FL 32901",https://www.zillow.com/homedetails/3650-Miami-Ave-Melbourne-FL-32904/43477510_zpid/
2,"$2,950/mo","3401 Titanic Cir #26, Melbourne, FL 32903",https://www.zillow.com/homedetails/417-High-Point-Ct-Melbourne-FL-32901/43493449_zpid/
3,"$2,095/mo","3107 Vassar St, Melbourne, FL 32901",https://www.zillow.com/homedetails/417-High-Point-Ct-Melbourne-FL-32901/43493449_zpid/
4,"$3,250+ 3 bds","7563 Loren Cove Dr, Melbourne, FL",https://www.zillow.com/homedetails/3401-Titanic-Cir-26-Melbourne-FL-32903/104113260_zpid/
5,"$2,150/mo","2639 Mohican Dr, Melbourne, FL 32935",https://www.zillow.com/homedetails/3401-Titanic-Cir-26-Melbourne-FL-32903/104113260_zpid/
6,"$2,145/mo","790 Croton Rd, Melbourne, FL 32935",https://www.zillow.com/homedetails/3107-Vassar-St-Melbourne-FL-32901/43490929_zpid/
7,"$2,130/mo","1724 N Cadillac Cir, Melbourne, FL 32935",https://www.zillow.com/homedetails/3107-Vassar-St-Melbourne-FL-32901/43490929_zpid/
8,"$2,345/mo","652 Comanche Ave, Melbourne, FL 32935","https://www.zillow.com/b/Melbourne-FL/28.22333,-80.73478_ll/"
0,"$2,000/mo","3703 Driftwood Dr, Melbourne, FL 32935",https://www.zillow.com/homedetails/3703-Driftwood-Dr-Melbourne-FL-32935/43460421_zpid/
1,"$2,500/mo","4600 Pagosa Springs Cir, Melbourne, FL 32901",https://www.zillow.com/homedetails/3703-Driftwood-Dr-Melbourne-FL-32935/43460421_zpid/
2,"$3,300/mo","181 Atlantic Ave, Indialantic, FL 32903",https://www.zillow.com/homedetails/4600-Pagosa-Springs-Cir-Melbourne-FL-32901/251162824_zpid/
3,"$2,900/mo","801 Glen Abbey Way, Melbourne, FL 32940",https://www.zillow.com/homedetails/4600-Pagosa-Springs-Cir-Melbourne-FL-32901/251162824_zpid/
4,"$4,600/mo","2468 Saint Johns Ln, Melbourne, FL 32935",https://www.zillow.com/homedetails/181-Atlantic-Ave-Indialantic-FL-32903/104104247_zpid/
5,"$1,400+ 1 bd","6401 Borasco Dr, Melbourne, FL",https://www.zillow.com/homedetails/181-Atlantic-Ave-Indialantic-FL-32903/104104247_zpid/
6,"$1,600/mo","617 Georgia Ave, Melbourne, FL 32901",https://www.zillow.com/homedetails/801-Glen-Abbey-Way-Melbourne-FL-32940/60340509_zpid/
7,"$1,450+ 2 bds","1812 Guava Ave, Melbourne, FL",https://www.zillow.com/homedetails/801-Glen-Abbey-Way-Melbourne-FL-32940/60340509_zpid/
8,"$1,400+ 1 bd","7667 N Wickham Rd, Melbourne, FL",https://www.zillow.com/homedetails/2468-Saint-Johns-Ln-Melbourne-FL-32935/43461504_zpid/
0,"$3,400/mo","866 Spanish Wells Dr, Melbourne, FL 32940",https://www.zillow.com/homedetails/866-Spanish-Wells-Dr-Melbourne-FL-32940/43444240_zpid/
1,"$1,450/mo","2073 Stewart Rd #0, Melbourne, FL 32935",https://www.zillow.com/homedetails/866-Spanish-Wells-Dr-Melbourne-FL-32940/43444240_zpid/
2,"$3,200/mo","1941 Dawn Dr, Melbourne, FL 32935",https://www.zillow.com/homedetails/2073-Stewart-Rd-0-Melbourne-FL-32935/2060497307_zpid/
3,"$2,300/mo","2783 Kingdom Ave, Melbourne, FL 32934",https://www.zillow.com/homedetails/2073-Stewart-Rd-0-Melbourne-FL-32935/2060497307_zpid/
4,"$1,675/mo","2446 Pepper Ave, Melbourne, FL 32935",https://www.zillow.com/homedetails/1941-Dawn-Dr-Melbourne-FL-32935/43468056_zpid/
5,"$1,850/mo","1974 Garner Ave #1, Melbourne, FL 32935",https://www.zillow.com/homedetails/1941-Dawn-Dr-Melbourne-FL-32935/43468056_zpid/
6,"$2,800/mo","537 Lake Victoria Cir, Melbourne, FL 32940",https://www.zillow.com/homedetails/2783-Kingdom-Ave-Melbourne-FL-32934/43455544_zpid/
7,"$2,300/mo","2017 Trevino Cir, Melbourne, FL 32935",https://www.zillow.com/homedetails/2783-Kingdom-Ave-Melbourne-FL-32934/43455544_zpid/
8,"$2,230/mo","1326R Fargo Dr, Melbourne, FL 32940",https://www.zillow.com/homedetails/2446-Pepper-Ave-Melbourne-FL-32935/54615478_zpid/
0,"$2,200/mo","1795 Kole Pl UNIT 104, Melbourne, FL 32935",https://www.zillow.com/homedetails/1795-Kole-Pl-UNIT-104-Melbourne-FL-32935/121240287_zpid/
1,"$2,900/mo","3780 Aria Dr, Melbourne, FL 32904",https://www.zillow.com/homedetails/1795-Kole-Pl-UNIT-104-Melbourne-FL-32935/121240287_zpid/
2,"$1,600/mo","2910 Zephyr Ln, Melbourne, FL 32935",https://www.zillow.com/homedetails/3780-Aria-Dr-Melbourne-FL-32904/104095977_zpid/
3,"$1,300/mo","2127 Highland Ave #2127, Melbourne, FL 32935",https://www.zillow.com/homedetails/3780-Aria-Dr-Melbourne-FL-32904/104095977_zpid/
4,"$2,800/mo","2150 N Highway A1a APT 111, Indialantic, FL 32903",https://www.zillow.com/homedetails/2910-Zephyr-Ln-Melbourne-FL-32935/43469713_zpid/
5,"$2,700/mo","741 Misty Creek Dr, Melbourne, FL 32940",https://www.zillow.com/homedetails/2910-Zephyr-Ln-Melbourne-FL-32935/43469713_zpid/
6,"$3,500/mo","2616 Lowell Cir, Melbourne, FL 32935",https://www.zillow.com/homedetails/2127-Highland-Ave-2127-Melbourne-FL-32935/2060718050_zpid/
7,"$3,150/mo","1903 Stockton St, Melbourne, FL 32901",https://www.zillow.com/homedetails/2127-Highland-Ave-2127-Melbourne-FL-32935/2060718050_zpid/
8,"$1,400/mo","3025 Thrush Dr APT 203, Melbourne, FL 32935",https://www.zillow.com/homedetails/2150-N-Highway-A1a-APT-111-Indialantic-FL-32903/2060974620_zpid/
